Dr_in,Air_gap,Lamda,Bridge,Hs0,Hs1,Hs2,Bs0,Bs1,Bs2,O1,O2,B1,rib,hrib,Mt,Mw,magDmin,thet_deg,generation,score,efficiency,torque_ripple,power_density,cost
90.0,0.8,0.8,1.1,1.0,1.0,21.0,2.0,6.5,7.0,6.0,7.0,4.2,3.0,2.0,4.6,16.0,5.0,38.0,9,68.8254524071878,95.11814738104931,26.418313848950362,0.3376117328836303,129.56097405890864
85.0,0.6,0.8,1.1,2.0,1.1,19.0,3.0,6.5,14.0,3.0,2.0,4.7,3.0,2.0,5.6,10.0,8.0,38.0,9,68.30239451345778,94.57329072005997,26.39808327075356,0.34454761597485306,135.26023150817593
85.0,1.1,0.8,1.5,1.0,1.0,19.0,1.5,4.0,7.0,13.0,2.0,3.7,3.0,6.0,4.4,12.0,5.0,45.0,9,67.2640354764865,95.11998037543253,27.979491052792188,0.3276923076923077,120.9
85.0,1.1,0.8,1.6,1.0,1.0,19.0,1.5,5.0,7.0,13.0,2.5,3.2,3.0,6.0,4.4,14.0,2.0,45.0,9,67.32820713473546,95.14827568158039,27.943539700691073,0.32794230769230776,121.50000000000003
85.0,0.6,0.8,1.1,2.0,1.2,19.0,2.0,5.0,11.0,3.0,7.0,3.2,3.0,4.0,5.6,16.0,10.0,38.0,10,70.86234964198556,95.19720788827439,24.463507245812036,0.3503247978530556,139.5401982099562
90.0,0.8,0.8,1.1,1.0,1.0,21.0,2.0,6.5,7.0,6.0,7.0,4.2,3.0,2.0,4.6,16.0,5.0,38.0,10,69.96289528829683,95.46888831356476,25.632485386712773,0.33913187658579963,129.2207305441815
90.0,1.2,0.8,1.1,2.0,1.1,19.0,3.0,9.0,14.0,8.0,2.0,4.7,3.0,6.0,5.0,10.0,8.0,1.0,10,66.04717015579799,94.25494471072886,28.333726941260235,0.3408470331415683,133.41339072426092
90.0,1.1,0.8,1.5,1.0,1.0,21.0,3.5,3.0,7.0,13.0,7.0,3.2,3.0,5.0,4.0,12.0,2.0,45.0,10,66.72189337606835,95.06055555555554,28.4625,0.32744230769230764,119.65
90.0,1.1,1.0,1.3,1.0,1.1,22.0,3.5,4.5,7.0,13.0,7.0,3.7,3.0,4.5,4.6,14.0,5.0,45.0,10,66.25896459298576,94.80118097184928,28.6668800042226,0.33420675857430737,127.3192617841758
85.0,0.6,0.8,1.1,2.0,1.1,19.0,3.0,6.5,14.0,3.0,2.0,4.7,3.0,2.0,5.6,10.0,8.0,38.0,10,69.50903520133265,94.86024581782276,25.479812453065172,0.3470837889042167,134.82017363113195
90.0,1.1,1.0,1.3,1.8,1.0,18.0,3.5,4.0,7.0,8.0,3.5,3.2,2.0,2.5,5.0,16.0,5.0,44.0,10,66.30010861007977,94.76673652740483,28.591880004222602,0.33653368165123043,129.04426178417577
90.0,0.8,1.0,1.7,1.0,1.1,16.0,3.5,7.5,7.0,8.0,3.5,3.7,4.0,6.0,6.0,16.0,6.0,1.0,10,68.70410659359703,94.8438989932661,26.267939303646834,0.34888465220706133,138.8862663772769
